text,label
yes im alone no im not worried,1
they brandish their latest theories as warriors would wield weapons,1
vampires know blood and the systems that carry it and they know exactly where to strike to set it free,1
at the waterfall the border between the humanoid and the spirit worlds was weakest the kami moved across it with ease and at will,1
the nightmare arises from its lair in the swamps as the poisoned land spreads so does the nightmares rage and terrifying strength,1
may angels fly at your back may your blade cleave the darkness war blessing of serra,1
the ultimate treasure is one that guards itself,1
what separates us from mere beasts is the capacity for selfimprovement,1
in the swirling mists you could walk right up to one and not know until its teeth are in your throat,1
if you cannot turn your enemys strength to weakness then make that strength your own gresha warrior sage,1
proud am i  strong am i  courageous in defending my children  and fierce in punishing what stands in my way so the elephant speaks zhalfirin song,1
archons dispense justice according to an ancient and flawed premise nissa revane,1
everyone should owe you something geth lord of the vault,1
moon market merchants sell a bottled scent to cutpurses and other criminals those doused in the liquid become griffin bait,1
each small blaze she sets jogs her memory letting her piece together the mystery of her own fiery end,1
fight mischief with mischief,1
the sidar who raised me had a saying the first step into death is the hardest gerrard of the weatherlight,1
anyone can admire creation only a barbarian sees the beauty in demolition kamahl pit fighter,1
come on you twisted things dont you want to get acquainted,1
in the soil of leadership sprout the seeds of immortality kaysa elder druid of the juniper,1
the voices of the dead ring in the heart long after they have faded from the ears,1
any creature on a druids shoulder is his family any land under his feet his home,1
theres no heron in the moon its a shrew a fivelegged shrew with a voice like whispering thunder,1
i decide what stands in my way,1
dromoka has regard for the humans who serve under her in return for her protection they obey with steadfast loyalty acting as weapons for her and her scalelords against the other clans,1
words to bless the eye that reads them telling of a future beyond the reach of fear,1
hang on im just tidying up chandra nalaar,1
our archers made sport of it as it fumbled its way up the slag ridge as it collapsed we thought ourselves safe but the foul thing carried more than necrogen adaran tangle hunter,1
hold on to your ideals theyll be tested more than your armor or the edge of your blade tajic,1
i bring a dawn that no night can follow,1
they are bred to suffer and born to die much like humans gix yawgmoth praetor,1
what you call decay i call ripening youll gain no sustenance from this harvest kaervek,1
the tall reedy grass of the daru plains rustles loudly in the winds a perfect cover for any ambush,1
i welcome it the pasture is cleared of weeds and the wolves are frozen solid lumi goatherd,1
obey,1
once you create perfection what else is there to make arcum dagsson soldevi machinist,1
are you sure this is going to work asked will no said rowan but if it does its going to be spectacular,0
its not eager to lose the other eye,1
every creature on mirrodin is a lightning rod,1
